País,R2
Argélia,1.0
Não declarados,1.0
Não consta na tabela,1.0
"Coreia do Sul, República",1.0
Outros,1.0
Iugoslávia,1.0
Portugal,0.9091369758713286
Chile,0.90874470170716
Espanha,0.8349796595830402
França,0.7454290955939238
Eslovênia,0.6868948585726147
Uruguai,0.6091264567259274
Bulgária,0.5942769324674402
Argentina,0.5537387659055648
Israel,0.5481353769747954
Romênia,0.5081887859243875
Armênia,0.34364090876745157
Hungria,0.34234638978897747
Peru,0.3069306795785728
Síria,0.29566008884756323
Bermudas,0.29133635334087726
Moldávia,0.28347230375547283
Geórgia,0.25615935046143645
"Geórgia do Sul e Sandwich do Sul, Ilhas",0.24863396444366548
Marrocos,0.22220438572039147
Macedônia,0.21035253009044996
Tunísia,0.20568272770748952
Porto Rico,0.198994928794909
Montenegro,0.1935837358973207
Suazilândia,0.1875000000000001
Bolívia,0.1875
Cuba,0.1874999999999989
Nova Zelândia,0.15614872931612456
"Tcheca, República",0.14904864258184924
Japão,0.14892180875570427
México,0.12373256640620445
Rússia,0.11642972997335232
Croácia,0.11640917677926277
Arábia Saudita,0.11253730752967794
Países Baixos (Holanda),0.09698443869353524
San Marino,0.09566326530612279
Sérvia,0.09566326530612268
Líbano,0.08495797499307978
Austrália,0.07793433995506882
Turquia,0.07288154557194326
Grécia,0.06890601302217969
Alemanha,0.06777424678296784
Bósnia-Herzegovina,0.061224489795923986
Hong Kong,0.06122448979592132
Irlanda,0.0529561431270551
Africa do Sul,0.04982080234890296
Áustria,0.0468962799751369
Indonésia,0.04116308152696124
Canada,0.03884890196069535
Panamá,0.034438775510205355
Suíça,0.028478311948219703
Estados Unidos,0.02523425036348048
Ucrânia,0.018282533322880323
Republica Dominicana,0.015306122448980997
Luxemburgo,0.01530612244898033
China,0.014073868736250716
Eslováquia,0.014066888593810778
Reino Unido,0.01082461597183293
Brasil,0.006371902044467359
Bélgica,0.00447716307510948
Itália,0.0035070850558726052
Emirados Árabes Unidos,0.0002840337038197971
Noruega,6.110398579339815e-07
